Filling queue with 20000 CIFAR images before starting to train. This will take a few minutes.
images.get_shape()
(128, 24, 24, 3)
conv1.get_shape()
(128, 24, 24, 64)
pool1.get_shape()
(128, 12, 12, 64)
norm1.get_shape()
(128, 12, 12, 64)
conv2.get_shape()
(128, 12, 12, 64)
norm2.get_shape()
(128, 12, 12, 64)
2018-03-22 11:32:37.140160: step 0, loss = 4.67 (178.0 examples/sec; 0.719 sec/batch)
2018-03-22 11:32:43.289863: step 10, loss = 4.61 (208.1 examples/sec; 0.615 sec/batch)
2018-03-22 11:32:48.688449: step 20, loss = 4.48 (237.1 examples/sec; 0.540 sec/batch)
2018-03-22 11:32:53.729350: step 30, loss = 4.31 (253.9 examples/sec; 0.504 sec/batch)
2018-03-22 11:32:59.268890: step 40, loss = 4.44 (231.1 examples/sec; 0.554 sec/batch)
2018-03-22 11:33:04.558447: step 50, loss = 4.33 (242.0 examples/sec; 0.529 sec/batch)
2018-03-22 11:33:09.973833: step 60, loss = 4.32 (236.4 examples/sec; 0.542 sec/batch)
2018-03-22 11:33:15.376110: step 70, loss = 4.12 (236.9 examples/sec; 0.540 sec/batch)
2018-03-22 11:33:20.560354: step 80, loss = 4.21 (246.9 examples/sec; 0.518 sec/batch)
2018-03-22 11:33:25.668356: step 90, loss = 3.99 (250.6 examples/sec; 0.511 sec/batch)
2018-03-22 11:33:31.834586: step 100, loss = 4.10 (207.6 examples/sec; 0.617 sec/batch)
2018-03-22 11:33:37.439546: step 110, loss = 4.03 (228.4 examples/sec; 0.560 sec/batch)
2018-03-22 11:33:42.864369: step 120, loss = 3.99 (235.9 examples/sec; 0.543 sec/batch)
2018-03-22 11:33:48.316363: step 130, loss = 3.98 (234.8 examples/sec; 0.545 sec/batch)
2018-03-22 11:33:53.781182: step 140, loss = 4.02 (234.2 examples/sec; 0.546 sec/batch)
2018-03-22 11:33:59.270622: step 150, loss = 3.95 (233.2 examples/sec; 0.549 sec/batch)
2018-03-22 11:34:03.820390: step 160, loss = 3.91 (281.3 examples/sec; 0.455 sec/batch)
2018-03-22 11:34:09.281427: step 170, loss = 3.83 (234.4 examples/sec; 0.546 sec/batch)
2018-03-22 11:34:15.053847: step 180, loss = 3.87 (221.7 examples/sec; 0.577 sec/batch)
2018-03-22 11:34:20.432519: step 190, loss = 3.70 (238.0 examples/sec; 0.538 sec/batch)
